column_name,business_meaning,raw_dtype,expected_dtype,unit,allowed_values,missing_meaning,cleaning_rule,quality_risk,owner
rent_to_single,آیا اجاره به فرد مجرد مجاز است.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
rent_type,نوع اجاره طبق برچسب منبع.,String,String,none,source-controlled categorical or text domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
price_mode,حالت قیمت: مقطوع، توافقی یا مجانی.,String,String,none,مقطوع | توافقی | مجانی | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
price_value,قیمت فروش یا قیمت اصلی آگهی به‌صورت متن خام.,String,String,toman,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
credit_mode,حالت ودیعه: مقطوع، توافقی یا مجانی.,String,String,none,مقطوع | توافقی | مجانی | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
credit_value,مبلغ ودیعه خام.,String,String,toman,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
rent_credit_transform,امکان تبدیل رهن و اجاره طبق منبع.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
transformable_price,قابلیت تبدیل یا تغییر ساختار قیمت طبق منبع.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
transformable_credit,مبلغ ودیعه قابل تبدیل ثبت‌شده در منبع.,String,String,toman,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
transformed_credit,مبلغ ودیعه تبدیل‌شده ثبت‌شده در منبع.,String,String,toman,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
transformable_rent,مبلغ اجاره قابل تبدیل ثبت‌شده در منبع.,String,String,toman_per_month,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
transformed_rent,مبلغ اجاره تبدیل‌شده ثبت‌شده در منبع.,String,String,toman_per_month,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
land_size,مساحت زمین به‌صورت متن خام.,String,String,source_text; intended sqm/meter,numeric text in source domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,برچسب‌های سقف‌دار، مقادیر نامعقول، عدم موضوعیت و ابهام معنایی بین انواع ملک.,Phase 1 - Data Audit
building_size,مساحت بنا یا مساحت اصلی ثبت‌شده به‌صورت متن خام.,String,String,source_text; intended sqm/meter,numeric text in source domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,برچسب‌های سقف‌دار، مقادیر نامعقول، عدم موضوعیت و ابهام معنایی بین انواع ملک.,Phase 1 - Data Audit
deed_type,نوع سند ملک.,String,String,none,source-controlled categorical or text domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
has_business_deed,وجود سند تجاری.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
floor,طبقه واحد به‌صورت متن خام.,String,String,none,integer text | 30+ | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,برچسب‌های سقف‌دار، مقادیر نامعقول، عدم موضوعیت و ابهام معنایی بین انواع ملک.,Phase 1 - Data Audit
rooms_count,تعداد اتاق به‌صورت برچسب خام.,String,String,count,بدون اتاق | یک | دو | سه | چهار | پنج یا بیشتر | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,برچسب‌های سقف‌دار، مقادیر نامعقول، عدم موضوعیت و ابهام معنایی بین انواع ملک.,Phase 1 - Data Audit
total_floors_count,تعداد کل طبقات ساختمان به‌صورت متن خام.,String,String,count,integer text | 30+ | unselect | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,برچسب‌های سقف‌دار، مقادیر نامعقول، عدم موضوعیت و ابهام معنایی بین انواع ملک.,Phase 1 - Data Audit
unit_per_floor,تعداد واحد در هر طبقه به‌صورت متن خام.,String,String,none,integer text | more_than_8 | unselect | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,برچسب‌های سقف‌دار، مقادیر نامعقول، عدم موضوعیت و ابهام معنایی بین انواع ملک.,Phase 1 - Data Audit
has_balcony,وجود بالکن یا وضعیت انتخاب آن.,String,String,none,true | false | unselect | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_elevator,وجود آسانسور.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_warehouse,وجود انباری.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_parking,وجود پارکینگ.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
construction_year,سال ساخت شمسی یا برچسب بازه‌ای خام.,String,String,Jalali_year,Jalali year text | قبل از ۱۳۷۰ | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,برچسب‌های سقف‌دار، مقادیر نامعقول، عدم موضوعیت و ابهام معنایی بین انواع ملک.,Phase 1 - Data Audit
is_rebuilt,بازسازی‌شده بودن ملک.,String,String,boolean,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_water,وجود انشعاب آب.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_warm_water_provider,نوع یا وضعیت تأمین آب گرم.,String,String,none,source-controlled categorical or text domain | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_electricity,وجود انشعاب برق.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_gas,وجود انشعاب گاز.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_heating_system,نوع یا وضعیت سیستم گرمایش.,String,String,none,source-controlled categorical or text domain | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_cooling_system,نوع یا وضعیت سیستم سرمایش.,String,String,none,source-controlled categorical or text domain | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_restroom,نوع یا وضعیت سرویس بهداشتی.,String,String,none,source-controlled categorical or text domain | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_security_guard,وجود نگهبان یا خدمات حفاظتی.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_barbecue,وجود امکان باربیکیو.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
building_direction,جهت جغرافیایی ساختمان.,String,String,none,source-controlled categorical or text domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
has_pool,وجود استخر در ملک.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_jacuzzi,وجود جکوزی در ملک.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
has_sauna,وجود سونا در ملک.,String,String,none,true | false | null,ویژگی در آگهی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا وضعیت آن نامشخص است؛ Missing معادل false نیست.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,Missing یا unselect ممکن است اشتباهاً به‌عنوان false تفسیر شود.,Phase 1 - Data Audit
floor_material,جنس کف ملک.,String,String,none,source-controlled categorical or text domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
property_type,نوع ملک یا اقامتگاه طبق طبقه‌بندی منبع.,String,String,none,source-controlled categorical or text domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
regular_person_capacity,ظرفیت استاندارد نفرات اقامتگاه.,String,String,none,source-defined non-negative count labels | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
extra_person_capacity,ظرفیت نفرات اضافه اقامتگاه.,String,String,none,integer text | 30+ | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,تغییر دامنه منبع، برچسب ناشناخته، Missing بالا یا ناسازگاری بین رده‌ها.,Phase 1 - Data Audit
cost_per_extra_person,هزینه پیشنهادی برای هر نفر اضافه در اقامت موقت.,String,String,toman,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
rent_price_on_regular_days,قیمت پیشنهادی اجاره در روزهای عادی.,String,String,toman,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
rent_price_on_special_days,قیمت پیشنهادی اجاره در روزهای خاص.,String,String,toman,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
rent_price_at_weekends,قیمت پیشنهادی اجاره در آخر هفته.,String,String,toman,numeric text >= 0; Persian/Arabic/ASCII digits and separators may occur,مؤلفه قیمت برای رژیم آگهی موضوعیت ندارد، ثبت نشده، یا توافقی است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,واحد پول در مستند منبع تأیید نشده؛ احتمال توافقی/مجانی، جداکننده و رقم فارسی/عربی؛ قیمت‌ها پیشنهادی‌اند.,Phase 1 - Data Audit
location_latitude,عرض جغرافیایی خام.,String,String,none,numeric text in source domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,مختصات ناقص، خارج از ایران، Placeholder یا نسبت‌داده‌شدن به شهر نادرست.,Phase 1 - Data Audit
location_longitude,طول جغرافیایی خام.,String,String,none,numeric text in source domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,مختصات ناقص، خارج از ایران، Placeholder یا نسبت‌داده‌شدن به شهر نادرست.,Phase 1 - Data Audit
location_radius,شعاع عدم‌قطعیت موقعیت مکانی در منبع.,String,String,source_text; intended sqm/meter,numeric text in source domain | null,ویژگی ثبت نشده، برای نوع ملک موضوعیت ندارد، یا در منبع موجود نبوده است.,حفظ مقدار خام برای ممیزی؛ تبدیل نوع در ستون مشتق‌شده جداگانه در Silver انجام می‌شود.,مختصات ناقص، خارج از ایران، Placeholder یا نسبت‌داده‌شدن به شهر نادرست.,Phase 1 - Data Audit
source_row_id,Stable 1-based row identifier assigned from Raw source order for audit joins.,N/A (derived),UInt32,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
