page_id,visual_id,visual_title,visual_type,source_tables,category_or_axis,measures_or_values,fixed_visual_filters,reliability_rule,notes
P06,P06_V02,Agency vs Personal Descriptive Profile,Clustered bar,mart_seller_type,agency_label;personal_label,[Agency Listing N];[Personal Listing N];[Agency Median Asking PSM];[Personal Median Asking PSM],,,Use user-type slicer only for selected-user descriptive cards.
P07,P07_K01,Validated Primary Signals,Card,mart_text_signals,,[Validated Text Signal Count],,manual precision + analysis PASS,Expected six families.
P07,P07_K02,Strongest Positive Signal,Card,mart_text_signals,,[Strongest Positive Text Signal],,eligible validated signals,Text label.
P07,P07_K03,Strongest Negative Signal,Card,mart_text_signals,,[Strongest Negative Text Signal],,eligible validated signals,Text label.
P07,P07_V01,Adjusted Asking-Price Association by Validated Text Signal,Bar/Forest,mart_text_signals,keyword_display_name,[Text Adjusted Effect %];[Text CI Low %];[Text CI High %],,manual precision + q-value in tooltip,"Observational, controlled association."
P07,P07_V02,Monthly Validated Text-Signal Prevalence,Line,mart_text_monthly,dim_month[month_label],[Text Matched Rate %],legend=keyword_display_name,sample/population visible,Month affects prevalence only.
P08,P08_K01,Market Type Count,Card,mart_segment_profile,,[Segment Count],,,Expected 5.
P08,P08_K02,Fit/Assigned Listings,Card,mart_segment_profile,,[Segment Assigned Listing N],,,Sum of final segment assignments.
P08,P08_K03,Segmentation Method,Card,mart_segment_profile,,[Segmentation Method Label],,,Show Descriptive Typology; do not show ARI as if applicable when fallback.
P08,P08_V01,Market Type Profile,Table,mart_segment_profile,segment_name,[Segment Listing N];[Segment Share %];[Segment Median Asking PSM];[Segment Median Area];[Segment Relative Price Index],,profile_applicability visible,N/A applicability must stay explicit.
P08,P08_V02,Area vs Relative Price Positioning,Scatter,mart_segment_profile,segment_name,X=[Segment Median Area];Y=[Segment Relative Price Index];Size=[Segment Listing N],,,Descriptive positioning.
P08,P08_V03,Relative Amenity/Profile,Bar,mart_segment_profile,segment_name,[Segment Amenity Profile %],,,"Profile metric only, not causal."
P08,P08_V04,Monthly Market Type Mix,100% stacked column/area,mart_segment_monthly_mix,dim_month[month_label],[Segment Monthly Share %],legend=segment_name,,Monthly listing composition; not transitions.
